Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
220208 Cajueiro da Praia,1162.01,1369.21,1507.48,2315.13,2022.91,2207.17,2728.73,3462.88,3048.76,3093.3,3847.13,4313.16,4408.83,2796.72
220209 Caldeirão Grande do Piauí,1288.97,1384.21,1428.93,2174.22,2614.03,2040.41,3237.05,3567.98,3821.12,5469.21,5122.39,4799.29,4980.94,3252.22
220210 Campinas do Piauí,1408.42,1648.87,1647.05,2094.39,2288.76,2516.59,3061.02,3479.47,3126.63,3811.6,4131.46,4833.11,4348.45,2991.33
220211 Campo Alegre do Fidalgo,1023.68,1145.62,1214.83,1359.02,1319.37,1858.4,2001.99,2586.82,2791.3,3006.1,3336.06,3700.78,3702.36,2255.45
220213 Campo Grande do Piauí,1352.6,1446.76,1694.68,1879.24,1929.67,2166.18,2433.9,2850.64,3343.14,3424.45,3913.46,4672.97,4290.32,2776.06
220217 Campo Largo do Piauí,923.02,1137.15,1204.96,1470.75,1568.1,1563.46,1731.22,2222.38,2447.99,2663.9,3259.35,3523.66,3596.18,2156.95
220220 Campo Maior,1846.63,1885.25,2114.2,2410.18,3103.48,3396.63,4106.41,4550.91,4410.79,5437.92,6462.19,6929.28,7242.38,4193.42
220225 Canavieira,1260.78,1313.01,1398.07,1812.3,1875.94,2394.07,2331.72,2593.55,2814.06,3867.35,4170.07,4948.26,4635.26,2700.61
220230 Canto do Buriti,1378.72,1554.6,1677.43,2057.95,2443.58,3011.25,3314.17,3395.67,3482.22,4163.68,5555.29,6005.17,5852.85,3435.8
220240 Capitão de Campos,1034.55,1112.54,1175.92,1525.56,1552,1662.38,2038.73,2239.81,2405.91,2818.17,3233.88,3582.63,3736.16,2201.63
220245 Capitão Gervásio Oliveira,1172.77,1312.66,1405.08,1746.49,1819.55,2599.26,3370.02,3926.86,2637.45,3002.91,3414.12,3601.97,3628.1,2604.11
220250 Caracol,1069.89,1067.35,1485.3,1770.76,1790.65,1955.81,2000.18,2466.14,2596.52,3082.85,3347.95,3845.73,3550.14,2377.42
220253 Caraúbas do Piauí,1220.88,1396.15,1533.15,1862.34,2003.97,2093.79,2171.58,2645.41,3388.63,3697.74,4416.08,4794.88,4735.18,2817.96
220255 Caridade do Piauí,1026.7,1083.75,1166.01,1398.73,1881.13,1922.76,2128.36,2768.04,2788.98,3052.27,3456.11,3976.09,4072.48,2437.75
220260 Castelo do Piauí,1295.06,1482.45,1567.19,1809.09,2024.14,2210.08,2479.66,3226.25,3677.5,3677.19,4427.46,4609.49,4913.49,2879.87
220265 Caxingó,1270.8,1434.27,1566.06,1998.35,2205.27,2217.76,2320.63,2815.66,3482.28,3685.95,4515.63,4985,4921.84,2953.05
220270 Cocal,1137.67,1240.94,1420.28,1874.35,1996.54,1997.16,2369.77,2769.63,3073.55,2919.87,3628.48,4083.45,4119.37,2548.11
220271 Cocal de Telha,1065.14,1205.05,1272,1613.86,1834.35,2129.77,2351.7,2744.5,2824.34,3431.58,3940.93,4162.92,4187.26,2556.55
220272 Cocal dos Alves,1120.99,1401.83,1339.68,1829.53,1782.82,1744.96,1987.92,2257.57,2927.3,3158.17,3482.37,4122.79,4019.33,2411.94
220273 Coivaras,1129.49,1241.96,1298.89,1545.33,1721.98,2014.99,2372.11,2943.52,2831.7,3288.3,3891.4,4171.21,4472.49,2587.26
220275 Colônia do Gurguéia,1069.81,1325.41,1388.39,1622.16,1827.73,2016.01,2449.13,2529.32,3045.55,3374.07,4007.03,4379.95,4610.33,2666.05
220277 Colônia do Piauí,1148.09,1351.64,1259.03,1519.73,1679.37,1900.82,2101.29,2499.32,2864.96,2930.03,4004.71,4067.49,4021.27,2423.12
220280 Conceição do Canindé,1626.61,1568.03,1410.85,1677.26,1844.41,1884.66,2030.86,2051.5,2856.16,2976.1,3759.91,4339.41,4749.07,2462.62
220285 Coronel José Dias,1061.53,1145.38,1126.96,1348.55,1508.72,1848.05,2049.59,2391.94,2616.81,3165.31,3470.95,3718.96,3494.14,2233.86
220290 Corrente,1607.21,1676.5,1701.55,1980.03,2370.24,2643.61,3177.7,3476,3775.99,4431.44,5285.97,5639.56,5936.29,3408.41
220300 Cristalândia do Piauí,1260.77,1269.54,1382.82,1756.14,1931.56,1983.42,2313.38,2749.56,2755.57,3217.77,3522.24,3755.03,3606.88,2492.85
220310 Cristino Castro,1318.63,1383.08,1524.76,1854.91,2253.51,2392.54,2421.49,2657.74,3238.57,3725.47,4139.76,4608.25,4522.82,2797.09
220320 Curimatá,1249.7,1303.55,1521.74,1741.86,2005.15,2159.41,2287.01,2838.74,3074.6,3725.42,4117.94,4859.17,5534.29,2853.49
220323 Currais,1549.25,1487.29,1144.54,2509.62,4113.15,6036.54,3498.28,3210.73,6672.52,7323.77,5048.08,8324.3,8031.99,4625.25
220327 Curral Novo do Piauí,1048.28,1052.32,1115.59,1451.59,1836.76,1792.99,2180.53,2997.32,2564.72,2822.37,3115.34,3493.51,3578.64,2296.25
220325 Curralinhos,1032.46,1163.72,1142.76,1333.27,1581.08,1805.42,1812.55,2103.78,2380.38,2660,2998.62,3427.75,3178.01,2082.19
220330 Demerval Lobão,1056.74,1111.33,1164.53,1390.66,1657.93,1736.35,1807.88,2047.36,2432.88,2623.16,3212.66,3731.5,4560.79,2204.77
220335 Dirceu Arcoverde,1101.89,1163.06,1175.08,1421.7,1823.75,1925.34,2173.92,2440.29,2727.79,2858.68,3344.67,3555.28,3670.57,2302.21
220340 Dom Expedito Lopes,1598.8,1609.16,1821.2,2118.41,2664.82,2679.1,3156.7,3481.25,3798.37,4662.08,5095.38,5552.42,5525.3,3413.07
220345 Dom Inocêncio,921.65,929.3,997.67,1145.09,1261.22,1481.65,1517.62,1886.46,2203.3,2360.1,2985.12,3304.19,3222.53,1872.66
220342 Domingos Mourão,1050.43,1299.68,1328.21,1777.74,1670.5,2076.07,2413.01,2852.14,2911.84,3169.69,3710.05,4161,3987.8,2494.32
220350 Elesbão Veloso,1324.48,1438.41,1611.67,1837.61,2196.64,2267.43,2385.2,2824.55,3881.09,3735.03,4188.09,4605.69,4756.61,2830.25
220360 Eliseu Martins,1422.14,1576.7,1793.42,2129.08,2274,2783.13,2977.27,3378.27,3438.81,3608.56,4264.76,4648.31,4601.92,3052.41
220370 Esperantina,1299.01,1510.22,1634.8,1917.5,2145.43,2419.65,2795.45,2877.9,3289.71,3570.09,4200.18,4525.66,4823,2890.99
220375 Fartura do Piauí,1009.53,1066.12,1105.51,1316.52,1492.12,1755.28,1963.2,2382.37,2322.99,2631.41,3073.82,3355.11,3107.68,2078.94
220380 Flores do Piauí,1142.18,1301.18,1518.12,2138.1,1912.05,2564.44,2395.45,2974.94,2863.16,3496.05,4035.71,4334.52,4346.4,2705.62
220385 Floresta do Piauí,1009.58,1685.68,1460.18,1831.2,2020.4,2239.03,2395.73,2890.22,3170.79,3503.29,4100.05,4823.39,4512.19,2757.58
220390 Floriano,2646.2,2564.69,3007.03,3181.76,4025.66,4513.68,5151.4,6704.6,6803.62,7415.53,9410.57,10263.95,11287.49,5977.85
220400 Francinópolis,1021.04,1178.45,1332.37,1605.08,1779.71,1842.09,2120.46,2441.03,2825.24,3157.98,3670.19,4799.22,4377.88,2475.63
220410 Francisco Ayres,978.25,1091.75,1194.97,1525,1617.13,1783.56,2123.1,2405.45,2799.21,3464.55,3764.62,4462.14,4265.57,2349.17
220415 Francisco Macedo,1145.74,1187.85,1266.57,1739.93,1914.56,2154.32,2549.98,2642.5,4107.33,3971.94,3752.84,4185.61,4013.33,2722.96
220420 Francisco Santos,1574.54,1565.76,1531.23,2194.93,2819.85,2634.57,2992.08,3705.06,3285.38,3898,4299.36,4557.52,4419.24,3124.99
220430 Fronteiras,1523.17,3591.19,7457.64,8610.96,7831.18,9558.33,11686.01,11091.67,17900.5,14328.62,17428.71,17135.81,14332.63,11180.72
220435 Geminiano,1160.6,1413.83,1435.71,1831.94,2043.24,1896.3,2341.18,2958.52,3937.64,4134.19,4653.07,5087.79,5789.31,3025.78
220440 Gilbués,1356.5,1449.91,1618.67,2127.35,2928.62,3099.43,2530.42,3112.34,5566.62,6470.29,5773.21,8944.18,7908.34,4053.68
220450 Guadalupe,4972.32,6285.76,6923.32,7194.23,11838.97,7144.32,7745.24,6697.64,13287.68,9993.71,13631.31,20164.8,13440.69,9886.1
220455 Guaribas,754.95,863.74,974.79,1125.61,1338.45,1315.56,1348.46,2217.56,2477.81,2915.25,3154.6,3852.26,3520.2,1986.38
220460 Hugo Napoleão,1074.53,1231.88,1335.74,1941.84,2123.99,1908.83,2455.25,2764.77,3223.4,3970.57,4204.13,4730.64,4195.24,2713.17
220465 Ilha Grande,1228.85,1453.86,1601.95,1861.02,2103.06,2212.39,2495.17,2921.97,3540.83,3953.9,4507.46,4622.25,4692.54,2910.77
220470 Inhuma,1275.25,1342.65,1285.05,1898.57,2059.26,2049.47,2461.41,2727.09,3082.94,4003.52,3827.92,4706.02,4443.03,2715.29
220480 Ipiranga do Piauí,1205.69,1311.28,1361.04,1837.85,2034.27,2115.76,2387.3,2591.38,2981.36,3451.94,3839.13,4321.69,4273.7,2635.14
220490 Isaías Coelho,953.06,1141.92,1227.21,1516.86,1548.35,1775.02,2014.7,2313.21,2495.88,3102.85,3128.19,3826.48,3760.59,2244.42
220500 Itainópolis,1280.31,1333.93,1506.59,1876.08,1798.56,2165.3,2630.38,2698.94,2765.77,3454.85,3760.73,4166.92,3904.35,2599.33
220510 Itaueira,1217.23,1494.04,1684.18,2389.94,2343.2,2940.97,2847.82,3242.31,3619.61,4281.19,4977.02,4793.13,5176.28,3182.19
220515 Jacobina do Piauí,1301.3,1482.31,1535.97,1762.03,1886.53,2054.54,2349.19,2603.61,3148.94,3781.84,4297.32,4567.92,4434.91,2709.78
220520 Jaicós,1031.33,1135.94,1356.87,1679.78,1870.74,2057.69,2326.32,2535.45,3567.06,3708.57,3900.38,4239.7,4283.35,2641.72
220525 Jardim do Mulato,1079.02,1279.74,1376.17,1606.43,1970.25,1869.57,2090.35,2944.26,2927.87,3300.78,3639.84,4179.7,3824.61,2506.49
220527 Jatobá do Piauí,1106.07,1478.14,1857.71,3111.59,2106.81,2586.33,3074.55,3247.22,3693.23,4975.3,5072.56,5197.87,4997.66,3308.16
220530 Jerumenha,1429.79,1575.86,1720.15,1846.8,2395.9,2151.98,2410.19,2923.9,4725.32,3834.27,5147.63,4863.07,5401.91,3077.81
220535 João Costa,1284.6,1495.03,1477.96,1822.74,2056.48,2503.64,2408.01,2778.94,3146,3510.03,5612,5400.88,4789.11,2931.71
220540 Joaquim Pires,953.66,1113.81,1231.67,1499.37,1622.29,1679.44,1942.48,2278.83,2714.59,2829.63,3283.32,3733.52,3742.55,2226.3
220545 Joca Marques,811.05,1015.18,1172.71,1493.19,1655.32,1763.65,2096.88,2586.95,2424.16,2684.74,3207.36,3583.59,3552.19,2220.64
220550 José de Freitas,1163.43,1271.56,1392.01,1646.98,1891.39,2158.69,2518.35,2786,3850.69,4209.03,4477.96,5370.87,5042.03,2968.79
220551 Juazeiro do Piauí,1215.68,1486.01,1445.6,1613.31,1928.49,2117.66,2607.98,3411.69,3614.15,3592.22,4415.49,4729.73,4627.55,2867.14
220552 Júlio Borges,1007.73,1095.82,1161.44,1477.29,1591.2,1692.5,1697.85,2185.8,2879.2,3166.29,3603.28,4026.05,3912.32,2300.83
220553 Jurema,1204.97,1278.95,1296.4,1744.12,1748.08,2374,2381.99,2814.36,2961.83,3700.9,3794.61,4542.8,4207.74,2672.13
220555 Lagoa Alegre,1019.38,1170.3,1249.16,1486.83,1759.04,1770.39,1942.53,2472.39,2632.92,3022.33,3438.8,3702.62,3802.35,2316.94
220557 Lagoa de São Francisco,847.73,1050.03,1096.69,1373.99,1433.77,1702.09,1673.72,2192.34,2237.36,2628.49,3126.47,3616.4,3855.35,2101.37
220556 Lagoa do Barro do Piauí,1192.86,1293.81,1410.13,1622.28,1763.54,1981.12,1902.77,2314.07,2994.79,3339.79,3907.43,4288.25,4232.98,2466.77
220558 Lagoa do Piauí,1691.54,1832.02,3203.64,3084.94,2900.53,2956.92,3971.03,4225.9,5155.94,5232.76,9267.37,12301.79,7371.61,4918.48
220559 Lagoa do Sítio,1320.63,1477.74,1574.76,2335.99,2107.6,2140.5,2633.91,2666.06,3286.66,3571.41,4039.77,4792.52,3994.59,2833.17
220554 Lagoinha do Piauí,1096.14,1239.46,1443.7,1891.16,2068.45,2139.82,2530.73,2825.42,3571.72,3362.41,3672.79,4188.33,4166.51,2710.23
220560 Landri Sales,1223.59,1403.78,1489.05,1846.36,2111.54,2276.59,2348.72,2733.9,5294.31,4771.15,5429.48,6025.19,4360.71,3154.19
220570 Luís Correia,1523.01,1728.68,1816.21,2275.95,2461.51,2587.95,2823.74,3372.46,3636.74,3770.5,4425.93,4808.52,5011.84,3164.16
220580 Luzilândia,1072.46,1250.18,1495.98,1664.02,1799.87,2101.43,2377.23,2915.08,2982.65,3353.74,3975.58,4221.3,4392.29,2605.92
220585 Madeiro,813.08,982.58,1160.52,1529.36,1660.08,1683.01,1910.93,2343.24,2594.6,2879.6,3312.8,3467.19,3349.62,2178.21
220590 Manoel Emídio,1166.31,1614.26,1450.01,2328.57,2345.79,3217.85,3554.79,3016.65,3885.63,5067.11,4679.15,5955.89,4906.15,3345.76
220595 Marcolândia,1008.39,1115.25,1167.79,1609.85,1723.79,1716.14,2025.82,3232.92,3221.86,3827.21,3846.55,4171.06,4387.33,2640.01
220600 Marcos Parente,1151.55,1235.92,1407.39,1670.68,1940.89,1936.27,2113.82,2247.24,3285.98,3540.18,4039.36,4765.57,4373.82,2598.6
220605 Massapê do Piauí,974.3,998.65,1122.83,1383.09,1477.71,1589.41,1791.69,2111.21,2631.38,2637.49,3187.53,3474.84,3443.6,2075.07
220610 Matias Olímpio,869.55,1040.7,1364.15,1319.65,1526.87,1534.6,1856.69,2152.49,2299.61,2590.74,3374.39,3633.67,3699.08,2118.08
220620 Miguel Alves,1022.71,1116.37,1268.91,1372.33,1656.75,1835.82,2065.97,2579.8,2649.53,2865.63,3584.14,3890.14,4108.94,2340.49
220630 Miguel Leão,2737.09,2666.25,3106,4035.53,3885.59,3781.44,4221.53,4486.31,6914.14,6901.71,7016.89,7824.51,7426.75,4894.8
220635 Milton Brandão,927.63,1086.96,1141.01,1363.4,1419.02,1471.52,1644.88,1807.53,2309.16,2603.58,3083.87,3599.95,3668.58,1980.89
220640 Monsenhor Gil,1237.61,1354.22,1412.14,1566.51,1932.56,1997.85,2548.83,3038.33,6550.2,4201.52,5485.03,6129.79,5450.15,3293.08
220650 Monsenhor Hipólito,1307.78,1311.27,1390.89,1864.58,2136.94,2222.6,2505.64,2651.6,3100.51,3324.51,3798.4,4499.41,4049.79,2662.58
220660 Monte Alegre do Piauí,1019.81,1113.93,1261.24,1840.19,2315.52,2504.13,2325.81,2991.77,4082.86,4940.96,4609.46,5963.76,5461.06,3110.94
220665 Morro Cabeça no Tempo,1063.84,1093.93,1206.69,1457.02,1476.43,1542.54,2317.26,2796.87,2932.68,3189.24,3987.51,4551.73,4480.23,2424.6
220667 Morro do Chapéu do Piauí,1098.61,1242.19,1317.26,1577.72,1729.44,1687.98,1572.1,2081.16,2645.85,3028.63,3356.46,3862.42,3811.62,2238.87
220669 Murici dos Portelas,1140.48,1327.4,1480.53,1879.99,2278.59,2230.86,2273.95,3048.68,2931.22,3129.87,3629.16,4054.12,4050.94,2684.18
220670 Nazaré do Piauí,1199.91,1265.97,1392.41,1829.55,1823.26,2002,2131.51,2296.76,2714.2,3342,3566.76,3965.59,3979.37,2392.65
220672 Nazária,,,,,,,,,,2711.12,3714.07,4306.67,4457.71,3807.73
220675 Nossa Senhora de Nazaré,1082.41,1289.11,1418.91,1722.96,1925.91,2047.51,2271.69,2781.73,3233.15,3533.43,3690.29,4055.9,3588.41,2569.65
220680 Nossa Senhora dos Remédios,1002.51,1077.91,1178.15,1410.66,1586.51,1593,1779.32,2181.93,2396.92,2815.19,3244.81,4236.76,4256.79,2257.2
220795 Nova Santa Rita,1201.95,1291.1,1261.14,1595.34,1746.87,2074.38,2020.44,2262.89,2880.27,3257.55,3668.03,3969.7,3935.69,2395.87
220690 Novo Oriente do Piauí,1022.79,1132.02,1319.15,1627.84,1790.2,1898.08,1980.65,2260.82,2837.56,3279.08,3620.31,4262.32,4017.44,2365.6
220695 Novo Santo Antônio,1313.34,1567.04,1512.67,2061.23,1807.32,2174.41,2672.06,3180.26,2931.22,3234.38,4121.59,4700.4,4317.37,2758.8
220700 Oeiras,1474.24,1641.75,1793.61,1951.6,2203.82,2722.3,3143.42,3329.73,3530.12,4196.48,5216.61,5613.4,5861.89,3309.68
220710 Olho D'Água do Piauí,1350.76,1583.63,1656.62,2218.63,2506.05,2271.88,2567.32,3092.59,3547.05,3739.79,4208.15,4612.31,4109.53,2968.97
220720 Padre Marcos,1139.12,1187.48,1248.75,1499,1652.53,2026.44,2129.02,2587.01,3210.62,3244.18,3933.66,4490.28,4556.24,2498.72
220730 Paes Landim,1321.72,1431.76,1496.24,1882.66,1877.57,2126.56,1817.62,2804.53,2791.55,3199.34,4235.71,5076.69,4896.8,2683.46
220735 Pajeú do Piauí,1127.4,1486.64,1528.27,2004.41,2035.63,2650.46,2840.21,3781.58,3037.58,3198,3897.65,4231,4183.44,2838.03
220740 Palmeira do Piauí,1580.3,1626.42,1547.89,2198.37,2939.14,2847.69,2416.15,2857.62,5354.66,6457.32,5087.04,7387.61,5815.61,3633.53
220750 Palmeirais,1333.99,1385.24,1409.78,1732.24,2142.74,2135.62,2465.08,2736.17,2857.27,3192,3411.8,4158.74,3857.67,2571.07
220755 Paquetá,1403.22,1380.14,1502.67,1946.89,2128.57,2164.52,2492.31,2669.07,2992.19,3244.39,3780.19,4536.91,4257.54,2622.85
220760 Parnaguá,1266.89,1365.7,1439.49,1755.93,1978,2082.58,2334.67,2809.98,2998.73,3350.54,4513.88,4771.08,4503.27,2750.24
220770 Parnaíba,2618.19,2527.3,2244.87,2421.63,3004.63,3501.31,4080.33,4270.97,4676.64,5186.54,6500.04,7088.69,7658.16,4346.31
220775 Passagem Franca do Piauí,1096.24,1281.55,1450.86,1856.51,2068.17,2109.15,2318.69,2641.92,3847.69,3395.09,3620.18,4304.61,4184.75,2656.21
220777 Patos do Piauí,1056.44,1214.28,1387.85,1615.64,2126.99,2150.45,2919.97,3054.92,3673.85,3611.91,3892.98,4092.44,4004.19,2719.82
220779 Pau D'Arco do Piauí,,1608.12,1671.01,2183.79,2212.69,2455.67,2649.94,3288.51,3204.97,3299.17,3868.86,3696.98,3912.38,2907.48
220780 Paulistana,1398.15,1479.2,1660.16,1790.07,2133.77,2215.49,2595.03,2854.34,3208.81,3531.25,4973.89,5438.85,5557.77,3082.48
220785 Pavussu,1163.26,1264.83,1380.05,1912.36,1834.48,2083.01,2323.48,2674.43,2716.99,3010.65,3870.13,4317.96,4218.84,2497.04
220790 Pedro II,998.98,1103.17,1180.02,1396.02,1625.83,1605.19,1997.52,2297.48,2592.35,3005.87,3691.41,4094.08,4264.44,2308.77
220793 Pedro Laurentino,2113.47,2167.61,1666.58,2042.73,2141.61,2288.31,2472.3,2753.91,3370.38,3873.06,4428.41,4876.94,4848.77,3058.5
220800 Picos,2644.82,2833.49,3026.94,3224.97,4377.55,5278.05,6108.02,6257.58,6943.14,7922.48,9539.09,9975.27,11013.11,6152.98
220810 Pimenteiras,1197.99,1233.86,1355.59,1685.12,1883.45,1957.15,2185.25,2392.51,3180.35,3326.63,3855.07,4184.63,3924.43,2494.62
220820 Pio IX,1290.58,1351.58,1348.91,1761.18,2380.81,2224.34,2763.19,3111.44,4225.57,3966.47,4266.78,4986.28,4319.09,2959.68
220830 Piracuruca,1358.57,1484.96,1601.39,1917.69,2142.69,2288.37,2548.5,2866.39,3270.07,3603.16,4272.24,4628.74,4936.62,2874.92
220840 Piripiri,1455.89,1476.04,1732.94,1840.28,2261.24,2503.63,2879.44,3130.51,3480.22,4118.09,5128.75,5541.51,5851.91,3196.22
220850 Porto,991.59,1119.38,1201.53,1433.23,1578.92,1519.49,1715.27,2128.23,2342.8,2691.95,3230.76,3551.63,3599.25,2123.6
220855 Porto Alegre do Piauí,1500.46,1532.73,1657.99,2110.85,2237.88,2668.84,3297.22,3916.51,5341.69,5930.45,5229.71,6765.19,5952.15,3737.68
220860 Prata do Piauí,1018.86,1089.83,1177.54,1502.57,1739.2,1787.18,1863.04,2337.96,2885.77,3287.35,3999.6,4145.82,4108.75,2364.65
220865 Queimada Nova,1082.93,1200.16,2174.65,1480.61,1691.24,1840.64,2037.28,2628.47,2782.37,2895.91,3622.2,4022.35,4011.54,2433.01
220870 Redenção do Gurguéia,1110.9,1339.39,1404.03,1652.21,1923.04,2068.27,2213.46,2519.79,3043.06,3494.16,3792.07,4264.36,4283.16,2574.01
220880 Regeneração,1006.77,1065.3,1224.53,1464.09,1730.51,1851.57,2090.08,2544.1,3003.36,3310.59,3931.11,4598.62,4762.81,2504.89
220885 Riacho Frio,1486.96,1350.73,1665.4,2027.93,2270.02,2264.74,2335.66,2832.1,2891.66,3280.2,4006.07,4738.1,4688.08,2751.12
220887 Ribeira do Piauí,1220.82,1375.31,1386.53,1802.52,1930.99,2120.24,2246.28,2527.04,2693.54,2977.81,3281.93,3880.17,3524.12,2412.44
220890 Ribeiro Gonçalves,1740.5,3722.14,4608.7,8391.78,8714.1,9565.56,5889.23,6473.05,12617.31,13808.34,7860.08,12999.24,12143.94,8607.46
220900 Rio Grande do Piauí,1037.49,1209.5,1419.2,1863.96,1855.08,2142.22,2102.59,2749.95,2809.63,3214.5,3980.25,4009.79,4123.69,2511.14
220910 Santa Cruz do Piauí,1307.43,1459.25,1434.04,1700.86,1955.91,2137.17,2319.17,2606.63,2793.87,3252.47,3675.39,4339.25,4375.73,2588.26
220915 Santa Cruz dos Milagres,1949.43,2270.88,2400.93,2990.65,2859.84,2689.5,2641.04,3025.72,3729.65,3989.46,4188.76,4881.95,4570.83,3282.66
220920 Santa Filomena,1616.32,1818.01,1869.04,3348.06,4967.27,6058.25,4782.98,5543.06,11980.71,11638.14,7205.71,10795.17,8164.73,6142.44
220930 Santa Luz,1055.8,1146.05,1262.68,1754.36,1766.6,2006.81,1896.2,2362.16,2618.39,3230.69,3631.25,4346.85,4125.56,2462.3
220937 Santa Rosa do Piauí,1063.81,1169.44,1212.66,1625.37,1642.6,1696.86,1861.95,2183.16,2717.94,3043.52,3472.38,3979.98,4098.03,2277.61
220935 Santana do Piauí,1073.93,1197.47,1264.58,1427.26,1808.99,2032.95,2106.16,2272.41,2859.12,3193.34,3829.99,4911.85,4025.39,2454.31
220940 Santo Antônio de Lisboa,1715.36,1620.04,1739.04,2321.32,3027.78,3748.68,4821.74,3882.62,4397.58,4794.26,5254.13,6617.95,5672.15,3911.35
220945 Santo Antônio dos Milagres,819.15,921.59,1070.65,1731.11,1610.49,1726.73,1816.76,2159.12,2455.12,2833.78,3515.12,5251.01,3997.4,2332.74
220950 Santo Inácio do Piauí,1388.28,1383.37,1491.62,1744.03,1908.16,2014.76,2207.78,2520.82,2810.23,3278.4,3719.51,4385.68,4127.87,2560.66
220955 São Braz do Piauí,950.93,1130.66,1100.74,1398.54,1494.81,1968.37,1958.78,2292.81,2657.77,3335.29,3333.59,4102.73,3711.93,2272.18
220960 São Félix do Piauí,1456.04,1637.79,1759.17,2251.66,2443.65,2527.82,2803.1,3102.25,3462.86,3605.16,4098.07,4591.59,4444.28,2901.37
220965 São Francisco de Assis do Piauí,968.12,1038.6,1205.12,1662.3,1972.58,1847.91,2065.05,2603.9,2510.73,2779.15,3190.67,3487.64,3881.77,2374.67
220970 São Francisco do Piauí,1107.89,1216.59,1345.47,1541,1750.28,1806.57,1916.48,2100.98,2467.07,3113.42,3928,4609.91,4398.6,2412.03
220975 São Gonçalo do Gurguéia,1392.09,1545.28,1501.19,1907.24,2336.98,2384.22,2594.54,2968.56,3452.61,4053.6,4555.33,5002.09,4871.13,3062.31
220980 São Gonçalo do Piauí,1135.81,1239.86,1332.81,1593.99,1838.79,1926.51,2014.76,2256.53,3004.06,3476.41,3663.67,4225.48,4111.61,2477.25
220985 São João da Canabrava,1146.65,1247.37,1336.97,1753.19,2033.76,2177.24,2864.5,2778.56,3147.5,3466.38,3732.39,4335.1,4266.62,2664.79
220987 São João da Fronteira,1347.72,1571.46,1641.89,1991.51,2055.25,1954.17,2260.63,2867.79,4173.9,3240.54,3879.13,4243.72,4271.98,2776.19
220990 São João da Serra,1187.54,1311.25,1452.46,1760.11,1809.44,2158.07,2496.43,3005.56,3087.33,3250.25,4179.71,4491.64,4479.88,2643.41
220995 São João da Varjota,971.3,1130.56,1162.85,1566.91,1712.84,1829.92,2020.8,2299.4,2453.14,2756.94,3411.74,3937.4,3617.9,2247.53
220997 São João do Arraial,857.68,961.71,1038.36,1269.25,1383.43,1443.27,1611.66,1941.31,2175.5,2690.1,3118.92,3486.86,3581.81,2040.47
221000 São João do Piauí,1564.7,1576.92,1671.84,1735.78,2161.22,2577.66,3355.18,3137.86,3756.21,3831.32,4490.21,4784.08,5410.24,3125.98
221005 São José do Divino,1355.37,1494.92,1657.93,2209.04,2411.82,2504.45,2621.04,3006.1,3614.62,3963.97,4574.23,5323.09,5223.9,3083.09
221010 São José do Peixe,1413.4,1566.95,1624.41,2047.83,2088.61,2333.33,2540.8,2850.37,3322.88,3985.4,4484.47,5030.68,5017.8,2933.53
221020 São José do Piauí,1129.05,1264.51,1314.7,1702.64,1809.14,2109.04,2715.26,2729,3363.01,3747.09,4130.17,4696.54,4185.39,2681.01
221030 São Julião,1231.13,1296.74,1357.3,1634.57,1845.83,2062.61,2379.66,2678.97,3701.15,3403.83,4120.85,4520.3,4470.8,2668.31
221035 São Lourenço do Piauí,990.9,1058.54,1153.47,1389.84,1508.2,1817.88,1948.21,2342.33,2370.18,2568.24,3266.68,3695.8,3657.34,2153.14
221037 São Luis do Piauí,1062.36,1188.94,1232.8,1595.04,1654.68,1843.65,2288.67,2411.81,2686.6,3159.83,3692.37,4303.68,4152.24,2420.47
221038 São Miguel da Baixa Grande,1170.52,1315.53,1344.95,1572.94,1834.56,1842.75,2331.97,2769.79,3174.22,3585.6,4345.26,4850.48,4454.06,2700.09
221039 São Miguel do Fidalgo,1403.34,1534.89,1518.87,1952.61,2026.94,2372.95,2775.37,2975.78,3181.18,3602.56,3944,4524.93,4178.16,2776.7
221040 São Miguel do Tapuio,1171.37,1262.47,1333.54,1526.74,1693.97,1835.37,2091.28,2234.05,2687.14,2852.78,3495.44,4060.04,4150.3,2326.48
221050 São Pedro do Piauí,1213.92,1372.46,1479.05,2162.82,2333.86,2240.63,2670.82,2920.5,3226.83,3582.72,3986.57,4297.26,4581.46,2808.04
221060 São Raimundo Nonato,1683.62,1899.12,2138.88,2552.39,2529.47,3090.11,3470.47,3982.7,4013.61,4816.79,5362.63,6203.16,6515.58,3822.09
221062 Sebastião Barros,1219.53,1377.06,1319.89,1737.44,1810.34,1925.16,2134.38,2351.05,3396.44,4074.8,5085.64,5468.1,5311.57,2698.83
221063 Sebastião Leal,1746.35,2085.43,2037.38,4057.16,5360.33,6268.05,8400.65,9090.54,11456.97,8262.24,16405.97,13785.11,13860.43,8048.71
221065 Sigefredo Pacheco,1030.15,1171,1220.84,1478.97,1567.1,1809.69,2097.26,2487.31,2770.98,3045.57,3581.78,3788.09,3911.06,2330.66
221070 Simões,1260.73,1171.6,1233.42,1619.06,2199.75,1878.26,2269.17,2813.39,3163.46,4096.28,3897.96,4306.31,4725.99,2685.57
221080 Simplício Mendes,1545.24,1535.07,1608.96,1817.78,2250.8,2468.38,2593.26,3077.68,3834.6,4046.13,4563.94,5117.83,5353.19,3112.13
