Sigla,Code,Munic,1996,2000,2007,2010
AL,2706109,Ouro Branco,4657,5300,6634,6880
AL,2706208,Palestina,2415,3014,3179,3237
AL,2706307,Palmeira dos Índios,48193,48958,50052,51610
AL,2706406,Pão de Açúcar,10110,10806,10455,10769
AL,2706422,Pariconha,2073,2404,2708,2796
AL,2706448,Paripueira,6742,7085,8438,10049
AL,2706505,Passo de Camaragibe,5810,5751,6893,7228
AL,2706604,Paulo Jacinto,5466,4661,4998,4908
AL,2706703,Penedo,40502,41545,43880,45020
AL,2706802,Piaçabuçu,10118,10154,10394,10436
AL,2706901,Pilar,25733,28166,30077,31801
AL,2707008,Pindoba,1150,1330,1651,1637
AL,2707107,Piranhas,1503,1340,13476,13189
AL,2707206,Poço das Trincheiras,1372,1557,1921,2043
AL,2707305,Porto Calvo,12798,14983,18345,20197
AL,2707404,Porto de Pedras,4710,5198,5441,4798
AL,2707503,Porto Real do Colégio,5812,5960,6073,6606
AL,2707602,Quebrangulo,5876,6149,6564,6474
AL,2707701,Rio Largo,39382,49919,53542,55947
AL,2707800,Roteiro,4350,5477,5749,5830
AL,2707909,Santa Luzia do Norte,5139,5446,6396,6172
AL,2708006,Santana do Ipanema,21718,23993,25465,27185
AL,2708105,Santana do Mundaú,5682,6182,6197,5658
AL,2708204,São Brás,2759,3021,3180,3183
AL,2708303,São José da Laje,12029,12520,14273,15391
AL,2708402,São José da Tapera,7161,9261,10984,11637
AL,2708501,São Luís do Quitunde,14886,17525,19532,20588
AL,2708600,São Miguel dos Campos,31225,35375,46708,52566
AL,2708709,São Miguel dos Milagres,1392,1744,2287,2261
AL,2708808,São Sebastião,9188,9408,11413,12309
AL,2708907,Satuba,5826,9975,11029,12792
AL,2708956,Senador Rui Palmeira,3031,3443,4095,3944
AL,2709004,Tanque d'Arca,2065,2141,2032,2140
AL,2709103,Taquarana,4666,4371,4107,7314
AL,2709152,Teotônio Vilela,26016,29838,32988,34785
AL,2709202,Traipu,7436,7131,7863,8027
AL,2709301,União dos Palmares,34494,37869,44513,47651
AL,2709400,Viçosa,15591,17611,18907,18313
AM,1300029,Alvarães,4760,5314,6985,7887
AM,1300060,Amaturá,2903,3930,4731,4960
AM,1300086,Anamã,1568,2064,3304,4174
AM,1300102,Anori,6101,7229,8651,10000
AM,1300144,Apuí,4434,6126,9264,10595
AM,1300201,Atalaia do Norte,2914,4175,5796,6893
AM,1300300,Autazes,9881,10150,12634,13893
AM,1300409,Barcelos,8493,7954,6802,11157
AM,1300508,Barreirinha,7267,9248,11800,12418
AM,1300607,Benjamin Constant,13650,14171,18598,20138
AM,1300631,Beruri,3673,4959,7805,7778
AM,1300680,Boa Vista do Ramos,3654,5017,6665,7550
AM,1300706,Boca do Acre,13602,14614,18070,19348
AM,1300805,Borba,10250,11246,14082,14434
AM,1300839,Caapiranga,2122,3115,4613,5140
AM,1300904,Canutama,4747,5439,5816,6682
AM,1301001,Carauari,14737,16876,18404,19744
AM,1301100,Careiro,5002,5877,6891,9437
AM,1301159,Careiro da Várzea,820,806,797,1000
AM,1301209,Coari,30096,39504,43262,49651
AM,1301308,Codajás,10596,11289,11556,15806
AM,1301407,Eirunepé,15420,16781,20742,22166
AM,1301506,Envira,7618,6745,9736,10552
AM,1301605,Fonte Boa,8068,11633,12892,15115
AM,1301654,Guajará,3879,6220,6543,7427
AM,1301704,Humaitá,17843,23991,28079,30501
AM,1301803,Ipixuna,4367,5765,7313,9499
AM,1301852,Iranduba,8474,9940,12026,28979
AM,1301902,Itacoatiara,43346,46465,55404,58157
AM,1301951,Itamarati,2581,3103,4317,4472
AM,1302009,Itapiranga,4422,5295,7061,6451
AM,1302108,Japurá,1433,2283,2512,3298
AM,1302207,Juruá,2207,3052,4660,5686
AM,1302306,Jutaí,9895,7725,9700,10552
AM,1302405,Lábrea,17515,19276,21943,24207
AM,1302504,Manacapuru,40246,47662,54388,60174
AM,1302553,Manaquiri,4078,4165,5205,7062
AM,1302603,Manaus,1150193,1396768,1636837,1792881
AM,1302702,Manicoré,15653,15339,19625,20349
AM,1302801,Maraã,3295,4521,7097,8753
AM,1302900,Maués,18809,21179,24104,25832
AM,1303007,Nhamundá,5838,6308,7211,7010
AM,1303106,Nova Olinda do Norte,8121,10262,13227,13626
AM,1303205,Novo Airão,7298,6984,10794,9499
AM,1303304,Novo Aripuanã,7207,9054,10804,14074
AM,1303403,Parintins,49748,58125,66236,69890
AM,1303502,Pauini,5734,6970,9118,9264
AM,1303536,Presidente Figueiredo,5444,8407,11580,13001
AM,1303569,Rio Preto da Eva,3986,6232,12722,12205
AM,1303601,Santa Isabel do Rio Negro,3111,4220,6363,6856
AM,1303700,Santo Antônio do Içá,6365,7906,11733,12947
AM,1303809,São Gabriel da Cachoeira,9563,12373,17094,19054
AM,1303908,São Paulo de Olivença,6315,8770,12698,14263
AM,1303957,São Sebastião do Uatumã,4076,4717,6363,5904
AM,1304005,Silves,2891,3363,3833,4029
AM,1304062,Tabatinga,23504,26637,30998,36355
AM,1304104,Tapauá,7041,9414,10013,10618
AM,1304203,Tefé,47698,47698,47257,50069
AM,1304237,Tonantins,3426,4362,6296,8899
AM,1304260,Uarini,2100,3552,5304,6795
AM,1304302,Urucará,7441,8098,10776,9886
AM,1304401,Urucurituba,8647,6759,8749,10448
AP,1600055,Serra do Navio,1248,1216,1133,2575
AP,1600105,Amapá,5440,5922,6350,6959
AP,1600154,Pedra Branca do Amaparí,877,1364,4083,5963
AP,1600204,Calçoene,4269,5271,7032,7307
AP,1600212,Cutias,914,1442,2170,2442
AP,1600238,Ferreira Gomes,1910,2523,3481,4175
AP,1600253,Itaubal,696,1156,1411,1754
AP,1600279,Laranjal do Jari,21415,26792,35587,37904
AP,1600303,Macapá,209663,270628,328865,381214
AP,1600402,Mazagão,5212,5972,7345,8272
AP,1600501,Oiapoque,5590,7842,12603,13852
AP,1600535,Porto Grande,5051,7374,9212,10809
AP,1600550,Pracuúba,641,969,1587,1881
AP,1600600,Santana,65513,75849,90707,99111
AP,1600709,Tartarugalzinho,2151,3483,6108,6516
AP,1600808,Vitória do Jari,,6880,9471,10302
BA,2900108,Abaíra,4458,3559,3360,3736
BA,2900207,Abaré,4578,5528,8306,9029
BA,2900306,Acajutiba,10584,12184,12335,12774
BA,2900355,Adustina,3237,4484,4992,5572
BA,2900405,Água Fria,3399,4324,5219,5777
BA,2900504,Érico Cardoso,1175,1322,1552,2016
BA,2900603,Aiquara,3085,2726,2837,2680
BA,2900702,Alagoinhas,103578,112440,115832,124042
BA,2900801,Alcobaça,6453,7446,10506,11085
BA,2900900,Almadina,5299,5416,5385,5080
BA,2901007,Amargosa,19438,20884,23505,24891
BA,2901106,Amélia Rodrigues,17605,19022,18822,19957
BA,2901155,América Dourada,7636,10148,10530,10832
BA,2901205,Anagé,6172,4208,4725,4924
BA,2901304,Andaraí,6783,7166,7670,7773
BA,2901353,Andorinha,4424,4335,5611,6208
BA,2901403,Angical,3561,6035,6909,6531
BA,2901502,Anguera,3328,3456,4104,4326
BA,2901601,Antas,4419,5014,6682,6360
BA,2901700,Antônio Cardoso,1099,2316,2584,3225
BA,2901809,Antônio Gonçalves,5827,5260,5283,5783
BA,2901908,Aporá,5878,6546,8045,8505
BA,2901957,Apuarema,4749,4382,5116,5117
BA,2902005,Aracatu,3188,3187,3626,3938
BA,2902054,Araças,4913,5330,5902,5807
BA,2902104,Araci,17448,16189,18258,19638
BA,2902203,Aramari,3886,4291,4466,5125
BA,2902252,Arataca,5989,5483,4990,5588
BA,2902302,Aratuípe,4573,4787,5460,5513
BA,2902401,Aurelino Leal,12469,13940,12016,11426
BA,2902500,Baianópolis,2672,2727,3024,3482
BA,2902609,Baixa Grande,6908,7126,8176,8338
BA,2902658,Banzaê,1265,3414,3628,4042
BA,2902708,Barra,18058,19641,21026,22446
BA,2902807,Barra da Estiva,6574,8933,9130,10404
BA,2902906,Barra do Choça,16813,17721,21233,22407
BA,2903003,Barra do Mendes,5088,5579,6299,6256
BA,2903102,Barra do Rocha,3265,3425,3847,3806
BA,2903201,Barreiras,87455,115784,115913,123741
BA,2903235,Barro Alto,2941,5176,6196,6712
BA,2903276,Barrocas,,,4204,5695
BA,2903300,Governador Lomanto Júnior,4197,5159,4768,5295
BA,2903409,Belmonte,11617,10806,11539,11420
BA,2903508,Belo Campo,6335,8082,8371,9029
BA,2903607,Biritinga,2034,2347,3087,3517
BA,2903706,Boa Nova,3977,4589,5681,5804
BA,2903805,Boa Vista do Tupim,5513,5840,6079,6593
BA,2903904,Bom Jesus da Lapa,35005,37726,41705,43099
BA,2903953,Bom Jesus da Serra,1465,1953,2425,2768
BA,2904001,Boninal,3310,3821,4205,4607
BA,2904050,Bonito,5607,5501,5920,6232
BA,2904100,Boquira,5782,6600,7246,7364
BA,2904209,Botuporã,2195,3251,3716,4076
BA,2904308,Brejões,3939,4568,4427,4937
BA,2904407,Brejolândia,1671,1832,2123,1984
BA,2904506,Brotas de Macaúbas,2901,3050,3122,3118
BA,2904605,Brumado,39661,40710,43259,45131
BA,2904704,Buerarema,16085,16249,16992,15277
BA,2904753,Buritirama,4110,5924,7180,7905
BA,2904803,Caatiba,3896,4428,5609,5398
BA,2904852,Cabaceiras do Paraguaçu,2254,3305,4072,4644
BA,2904902,Cachoeira,15446,15831,16426,16387
BA,2905008,Caculé,10957,11531,12336,13309
BA,2905107,Caém,3916,3377,3565,3655
BA,2905156,Caetanos,1275,2312,2711,3291
BA,2905206,Caetité,20550,23459,25907,28447
BA,2905305,Cafarnaum,6735,9209,9801,10563
BA,2905404,Cairu,5283,6981,7680,8147
BA,2905503,Caldeirão Grande,5150,4081,4343,4558
BA,2905602,Camacan,16397,24282,23816,24685
BA,2905701,Camaçari,128937,154402,,231973
BA,2905800,Camamu,10419,12107,13393,15618
BA,2905909,Campo Alegre de Lourdes,5308,6539,5844,8126
BA,2906006,Campo Formoso,18463,21003,24065,24863
BA,2906105,Canápolis,2209,2538,3058,3225
BA,2906204,Canarana,8773,9755,11418,11455
BA,2906303,Canavieiras,25913,26343,28267,25903
BA,2906402,Candeal,2848,3417,3560,3476
BA,2906501,Candeias,63201,69127,71665,75994
BA,2906600,Candiba,4681,6159,6821,7725
BA,2906709,Cândido Sales,14067,18924,19208,19286
BA,2906808,Cansanção,8639,9221,10643,11021
BA,2906824,Canudos,6213,7012,7640,8698
BA,2906857,Capela do Alto Alegre,3898,4533,5901,5595
BA,2906873,Capim Grosso,18373,17861,19861,21762
BA,2906899,Caraíbas,520,1424,1942,2513
BA,2906907,Caravelas,9347,10332,11583,11309
BA,2907004,Cardeal da Silva,2584,2832,2845,2901
BA,2907103,Carinhanha,9414,10483,12363,12585
BA,2907202,Casa Nova,22556,27266,32745,37543
BA,2907301,Castro Alves,14839,14647,14024,15686
BA,2907400,Catolândia,886,848,969,967
BA,2907509,Catu,36103,37816,40275,42755
BA,2907558,Caturama,1531,1563,1698,2374
BA,2907608,Central,7135,7637,7988,8157
BA,2907707,Chorrochó,1926,2155,2446,2631
BA,2907806,Cícero Dantas,13736,15797,16889,17726
BA,2907905,Cipó,8536,9527,10205,11287
BA,2908002,Coaraci,17794,23269,20596,19130
BA,2908101,Cocos,5733,6424,7649,8572
BA,2908200,Conceição da Feira,8300,11237,12109,13137
BA,2908309,Conceição do Almeida,8748,8318,8305,7926
BA,2908408,Conceição do Coité,22457,28026,33671,36278
BA,2908507,Conceição do Jacuípe,17675,19466,20867,23539
BA,2908606,Conde,7137,10492,11445,12129
BA,2908705,Condeúba,6553,6331,7286,7462
BA,2908804,Contendas do Sincorá,2520,2331,2287,2297
BA,2908903,Coração de Maria,6025,7528,8543,9400
BA,2909000,Cordeiros,2746,2100,2543,2551
BA,2909109,Coribe,5392,5695,5611,6141
BA,2909208,Coronel João Sá,3964,5538,6650,7043
BA,2909307,Correntina,9887,11355,12370,12604
BA,2909406,Cotegipe,5203,6547,6406,6648
BA,2909505,Cravolândia,2870,3000,3574,3180
BA,2909604,Crisópolis,4300,6855,7721,8612
BA,2909703,Cristópolis,2625,2675,3057,3133
BA,2909802,Cruz das Almas,33309,39604,46121,49885
BA,2909901,Curaçá,9762,10775,13047,13719
BA,2910008,Dário Meira,5840,4931,5009,5090
BA,2910057,Dias d'Ávila,32978,42673,50758,62473
BA,2910107,Dom Basílio,1288,1521,1719,2241
BA,2910206,Dom Macedo Costa,982,1297,1542,1761
BA,2910305,Elísio Medrado,2343,2514,2797,3248
BA,2910404,Encruzilhada,4320,4983,4868,5130
BA,2910503,Entre Rios,19820,23019,24069,23840
BA,2910602,Esplanada,16446,17538,19828,20822
BA,2910701,Euclides da Cunha,20251,24531,26028,27416
BA,2910727,Eunápolis,75769,79161,87875,93413
BA,2910750,Fátima,5332,6343,6782,6916
BA,2910776,Feira da Mata,1868,2822,3220,3243
BA,2910800,Feira de Santana,393943,431730,,510635
BA,2910859,Filadélfia,6519,7966,8431,9022
BA,2910909,Firmino Alves,4242,3806,4389,4337
BA,2911006,Floresta Azul,8041,7548,7348,7343
BA,2911105,Formosa do Rio Preto,5788,9381,11445,13647
BA,2911204,Gandu,22714,22060,24473,24848
BA,2911253,Gavião,2037,2203,2337,2538
BA,2911303,Gentio do Ouro,4292,4902,5617,5350
BA,2911402,Glória,1790,2365,2691,2827
BA,2911501,Gongogi,7600,6250,4772,5358
BA,2911600,Governador Mangabeira,5646,6684,7324,7417
BA,2911659,Guajeru,1625,1723,1684,2077
BA,2911709,Guanambi,49785,54003,59310,62565
BA,2911808,Guaratinga,10306,10017,10239,10425
BA,2911857,Heliópolis,3366,4232,5766,5428
BA,2911907,Iaçu,20579,21636,21205,20168
BA,2912004,Ibiassucê,3507,4037,4487,4706
BA,2912103,Ibicaraí,18969,19333,18461,17885
BA,2912202,Ibicoara,1794,4016,5854,10961
BA,2912301,Ibicuí,10243,10454,11712,11964
BA,2912400,Ibipeba,5034,9282,9911,10049
BA,2912509,Ibipitanga,3166,3663,4283,5155
BA,2912608,Ibiquera,2217,2493,2558,2461
BA,2912707,Ibirapitanga,6695,6363,6065,6163
BA,2912806,Ibirapuã,3448,3573,3988,4532
BA,2912905,Ibirataia,17790,18726,18063,15742
BA,2913002,Ibitiara,2391,2714,3189,3437
BA,2913101,Ibititá,7488,8060,8474,8338
BA,2913200,Ibotirama,15465,16384,18710,19501
BA,2913309,Ichu,3621,2663,3111,3365
BA,2913408,Igaporã,7187,7101,7394,7864
BA,2913457,Igrapiúna,1576,2377,3910,4275
BA,2913507,Iguaí,11045,12557,14091,14580
BA,2913606,Ilhéus,172627,162125,,155281
BA,2913705,Inhambupe,10777,12581,14142,15635
BA,2913804,Ipecaetá,1529,2065,2381,2637
BA,2913903,Ipiaú,36599,37924,37970,40384
BA,2914000,Ipirá,20046,23320,27442,29009
BA,2914109,Ipupiara,4914,5184,5565,5979
BA,2914208,Irajuba,2180,2717,3394,3273
BA,2914307,Iramaia,7886,7682,7570,5404
BA,2914406,Iraquara,4705,5330,5632,6757
BA,2914505,Irará,8273,8657,9053,11246
BA,2914604,Irecê,44648,53143,58036,61019
BA,2914653,Itabela,19254,18837,19742,21384
BA,2914703,Itaberaba,41961,44517,45845,48485
BA,2914802,Itabuna,177944,191184,,199643
BA,2914901,Itacaré,5095,7951,14350,13642
BA,2915007,Itaeté,5346,5454,5611,6209
BA,2915106,Itagi,9518,9986,10137,10210
BA,2915205,Itagibá,7950,8767,9519,9572
BA,2915304,Itagimirim,5200,5941,5680,5649
BA,2915353,Itaguaçu da Bahia,1704,1987,2373,2598
BA,2915403,Itaju do Colônia,2606,6441,5998,5860
BA,2915502,Itajuípe,16712,16123,15731,16839
BA,2915601,Itamaraju,47757,48037,50021,49785
BA,2915700,Itamari,4983,5488,5851,5839
BA,2915809,Itambé,21409,22175,22224,19698
BA,2915908,Itanagra,1598,1859,2213,2327
BA,2916005,Itanhém,14480,14090,14088,14206
BA,2916104,Itaparica,17975,18945,19897,20725
BA,2916203,Itapé,7270,8666,6701,7180
BA,2916302,Itapebi,8107,8542,9551,8268
BA,2916401,Itapetinga,50793,55182,60723,66276
BA,2916500,Itapicuru,4579,5085,6027,6675
BA,2916609,Itapitanga,7106,7095,7423,7591
BA,2916708,Itaquara,3702,4165,4563,4608
BA,2916807,Itarantim,11483,12960,14378,15302
BA,2916856,Itatim,7862,8700,9640,10112
BA,2916906,Itiruçu,8689,9871,11602,9526
BA,2917003,Itiúba,8396,8864,9470,9699
BA,2917102,Itororó,15632,16627,17927,18100
BA,2917201,Ituaçu,4485,4429,5832,6569
BA,2917300,Ituberá,12821,15910,16837,19252
BA,2917334,Iuiú,4304,4571,5126,5284
BA,2917359,Jaborandi,1740,2023,2392,3040
BA,2917409,Jacaraci,3200,3651,4691,4923
BA,2917508,Jacobina,57068,52088,52939,55868
BA,2917607,Jaguaquara,29979,35103,36585,38850
BA,2917706,Jaguarari,8080,13381,14930,16612
BA,2917805,Jaguaripe,4913,4632,5396,5298
BA,2917904,Jandaíra,5193,5507,6156,6147
BA,2918001,Jequié,134910,130296,133884,139426
BA,2918100,Jeremoabo,13356,14764,16810,17437
BA,2918209,Jiquiriçá,3816,4588,5204,5581
BA,2918308,Jitaúna,8097,9568,9150,9260
BA,2918357,João Dourado,10331,11441,12942,13569
BA,2918407,Juazeiro,133117,133278,,160775
BA,2918456,Jucuruçu,1739,1850,1879,2292
BA,2918506,Jussara,8729,9865,9445,10052
BA,2918555,Jussari,5507,5124,4997,4876
BA,2918605,Jussiape,4618,3766,3074,3068
BA,2918704,Lafaiete Coutinho,1794,1921,1967,2104
BA,2918753,Lagoa Real,1767,2006,2745,2808
BA,2918803,Laje,4317,5118,5712,6080
BA,2918902,Lajedão,1815,1852,2052,2076
BA,2919009,Lajedinho,1021,1154,1239,1245
BA,2919058,Lajedo do Tabocal,4818,4608,5075,5149
BA,2919108,Lamarão,1705,1928,1940,2085
BA,2919157,Lapão,7811,9222,9852,10050
BA,2919207,Lauro de Freitas,58200,108385,144492,163449
BA,2919306,Lençóis,4490,6395,7324,8037
BA,2919405,Licínio de Almeida,6041,5957,6182,6253
BA,2919504,Livramento de Nossa Senhora,14169,16724,19031,20530
BA,2919553,Luís Eduardo Magalhães,,,40502,54881
BA,2919603,Macajuba,4065,4405,6939,6871
BA,2919702,Macarani,8872,10719,12063,13639
BA,2919801,Macaúbas,9546,11681,14641,15411
BA,2919900,Macururé,1911,2355,2540,2860
BA,2919926,Madre de Deus,9574,11599,14937,16854
BA,2919959,Maetinga,1825,1974,2576,2817
BA,2920007,Maiquinique,4845,5208,6566,6916
BA,2920106,Mairi,7103,9595,10614,11115
BA,2920205,Malhada,3278,6073,6860,6559
BA,2920304,Malhada de Pedras,1885,2348,2700,3234
BA,2920403,Manoel Vitorino,6227,6783,6596,7359
BA,2920452,Mansidão,2068,2334,3901,4782
BA,2920502,Maracás,15733,18516,22581,17707
BA,2920601,Maragogipe,20833,21043,22516,25093
BA,2920700,Maraú,2710,2849,3466,3561
BA,2920809,Marcionílio Souza,5188,5097,5365,5312
BA,2920908,Mascote,1617,11853,12421,11679
BA,2921005,Mata de São João,23498,24969,26996,29825
BA,2921054,Matina,2516,2759,4099,3473
BA,2921104,Medeiros Neto,16693,16027,16589,17064
BA,2921203,Miguel Calmon,15880,14819,15920,16066
BA,2921302,Milagres,9190,9359,9573,7789
BA,2921401,Mirangaba,5177,4713,7539,7879
BA,2921450,Mirante,799,1279,1595,1809
BA,2921500,Monte Santo,6783,7226,8218,8845
BA,2921609,Morpará,4274,5494,5653,5538
BA,2921708,Morro do Chapéu,18080,19793,19248,20267
BA,2921807,Mortugaba,4671,4994,5964,5887
BA,2921906,Mucugê,3048,3317,4119,4180
BA,2922003,Mucuri,6856,18685,24256,27492
BA,2922052,Mulungu do Morro,5723,6159,6537,5919
BA,2922102,Mundo Novo,10564,11129,12734,13564
BA,2922201,Muniz Ferreira,2887,3301,3224,3394
BA,2922250,Muquém de São Francisco,856,997,1075,1283
BA,2922300,Muritiba,14628,17905,17174,18040
BA,2922409,Mutuípe,8190,8984,9252,9659
BA,2922508,Nazaré,20608,23011,23224,22864
BA,2922607,Nilo Peçanha,2455,2495,3012,3105
BA,2922656,Nordestina,2036,2875,3632,3921
BA,2922706,Nova Canaã,5434,5973,8533,6852
BA,2922730,Nova Fátima,4089,4441,4828,5074
BA,2922755,Nova Ibiá,2768,2534,2953,2807
BA,2922805,Nova Itarana,2222,2497,2653,2715
BA,2922854,Nova Redenção,5542,4492,5130,5237
BA,2922904,Nova Soure,10270,10869,11015,11730
BA,2923001,Nova Viçosa,10136,24636,27108,33526
BA,2923035,Novo Horizonte,1885,2000,3161,3505
BA,2923050,Novo Triunfo,4770,5247,6119,7503
BA,2923100,Olindina,10154,11152,12376,12773
BA,2923209,Oliveira dos Brejinhos,5131,5817,6575,6584
BA,2923308,Ouriçangas,2121,2584,2865,2762
BA,2923357,Ourolândia,3521,4458,5402,6341
BA,2923407,Palmas de Monte Alto,6502,6657,8389,9832
BA,2923506,Palmeiras,4328,3999,4122,5239
BA,2923605,Paramirim,6804,7883,9036,10029
BA,2923704,Paratinga,8157,9067,9582,10905
BA,2923803,Paripiranga,6386,7781,9003,9533
BA,2923902,Pau Brasil,9231,8740,8056,7382
BA,2924009,Paulo Afonso,80273,82584,87411,93404
BA,2924058,Pé de Serra,3264,4111,4994,5174
BA,2924108,Pedrão,1460,1457,1554,1716
BA,2924207,Pedro Alexandre,1504,2131,2617,2786
BA,2924306,Piatã,3822,5771,7217,7612
BA,2924405,Pilão Arcado,6157,7865,9824,11027
BA,2924504,Pindaí,3166,3631,3946,4319
BA,2924603,Pindobaçu,5853,10456,10827,11237
BA,2924652,Pintadas,2897,4076,5099,5840
BA,2924678,Piraí do Norte,2666,2787,3246,3689
BA,2924702,Piripá,4515,5248,6583,6195
BA,2924801,Piritiba,10244,12728,15136,15162
BA,2924900,Planaltino,2455,2990,3468,3640
BA,2925006,Planalto,10725,12537,13776,14869
BA,2925105,Poções,28762,31801,32623,34659
BA,2925204,Pojuca,19205,21884,26218,28378
BA,2925253,Ponto Novo,6548,6767,7903,8405
BA,2925303,Porto Seguro,52241,79619,95814,104078
BA,2925402,Potiraguá,6041,7546,6570,6604
BA,2925501,Prado,11930,14169,14758,15474
BA,2925600,Presidente Dutra,6412,7659,8263,9056
BA,2925709,Presidente Jânio Quadros,2538,2913,3864,4198
BA,2925758,Presidente Tancredo Neves,3394,6221,8198,9569
BA,2925808,Queimadas,9172,9783,13078,12492
BA,2925907,Quijingue,3936,4892,6206,6377
BA,2925931,Quixabeira,3113,3130,3420,3663
BA,2925956,Rafael Jambeiro,2776,4902,5961,6850
BA,2926004,Remanso,19349,21015,21535,23470
BA,2926103,Retirolândia,4572,5474,6379,6722
BA,2926202,Riachão das Neves,9416,10257,10674,10744
BA,2926301,Riachão do Jacuípe,14573,15569,16640,19860
BA,2926400,Riacho de Santana,9614,11011,12287,13091
BA,2926509,Ribeira do Amparo,1065,1459,1925,1921
BA,2926608,Ribeira do Pombal,22804,25383,28012,29756
BA,2926657,Ribeirão do Largo,3391,4451,6089,4647
BA,2926707,Rio de Contas,5074,5684,6003,6309
