Sigla,Codigo,Munic’pio,1991,2000
MA,2109106,Presidente Dutra,21647,27505
MA,2109205,Presidente Juscelino,1889,2715
MA,2109239,Presidente M_dici,0,3377
MA,2109270,Presidente Sarney,596,3242
MA,2109304,Presidente Vargas,3024,3744
MA,2109403,Primeira Cruz,3421,3759
MA,2109452,Raposa,4364,11370
MA,2109502,Riach‹o,6628,9676
MA,2109551,Ribamar Fiquene,0,2744
MA,2109601,Ros‡rio,19695,21765
MA,2109700,Samba’ba,1512,2295
MA,2109759,Santa Filomena do Maranh‹o,0,1623
MA,2109809,Santa Helena,12091,15105
MA,2109908,Santa Inês,20644,63030
MA,2110005,Santa Luzia,20931,21264
MA,2110039,Santa Luzia do Paru‡,8271,10676
MA,2110104,Santa Quit_ria do Maranh‹o,6712,11499
MA,2110203,Santa Rita,6965,9666
MA,2110237,Santana do Maranh‹o,0,1340
MA,2110278,Santo Amaro do Maranh‹o,1899,2775
MA,2110302,Santo Ant™nio dos Lopes,4300,5337
MA,2110401,S‹o Benedito do Rio Preto,5947,9173
MA,2110500,S‹o Bento,14089,16760
MA,2110609,S‹o Bernardo,4949,8764
MA,2110658,S‹o Domingos do Azeit‹o,0,4079
MA,2110708,S‹o Domingos do Maranh‹o,11278,15980
MA,2110807,S‹o F_lix de Balsas,932,1283
MA,2110856,S‹o Francisco do Brej‹o,0,3833
MA,2110906,S‹o Francisco do Maranh‹o,2083,3205
MA,2111003,S‹o Jo‹o Batista,2940,3549
MA,2111029,S‹o Jo‹o do Carœ,0,3155
MA,2111052,S‹o Jo‹o do Para’so,0,3829
MA,2111078,S‹o Jo‹o do Soter,0,4442
MA,2111102,S‹o Jo‹o dos Patos,16127,18817
MA,2111201,S‹o Jos_ de Ribamar,27424,27245
MA,2111250,S‹o Jos_ dos Bas’lios,0,2713
MA,2111300,S‹o Lu’s,222190,837584
MA,2111409,S‹o Lu’s Gonzaga do Maranh‹o,5266,7722
MA,2111508,S‹o Mateus do Maranh‹o,19519,25970
MA,2111532,S‹o Pedro da çgua Branca,0,9459
MA,2111573,S‹o Pedro dos Crentes,0,1692
MA,2111607,S‹o Raimundo das Mangabeiras,7396,9720
MA,2111631,S‹o Raimundo do Doca Bezerra,0,1486
MA,2111672,S‹o Roberto,0,2463
MA,2111706,S‹o Vicente Ferrer,1969,3977
MA,2111722,Satubinha,3268,2263
MA,2111748,Senador Alexandre Costa,0,4944
MA,2111763,Senador La Rocque,0,7965
MA,2111789,Serrano do Maranh‹o,0,2918
MA,2111805,S’tio Novo,3395,4249
MA,2111904,Sucupira do Norte,2446,3832
MA,2111953,Sucupira do Riach‹o,0,2133
MA,2112001,Tasso Fragoso,2096,3034
MA,2112100,Timbiras,7815,13954
MA,2112209,Timon,90814,113066
MA,2112233,Trizidela do Vale,11872,14329
MA,2112274,Tufil‰ndia,1670,2049
MA,2112308,Tuntum,13474,16424
MA,2112407,Turiaçu,5248,8489
MA,2112456,Turil‰ndia,0,6929
MA,2112506,Tut—ia,8329,11589
MA,2112605,Urbano Santos,6900,10906
MA,2112704,Vargem Grande,12194,17116
MA,2112803,Viana,16897,22996
MA,2112852,Vila Nova dos Mart’rios,0,3108
MA,2112902,Vit—ria do Mearim,9051,13492
MA,2113009,Vitorino Freire,8298,13594
MA,2114007,Z_ Doca,24795,29082
MG,3100104,Abadia dos Dourados,3512,3927
MG,3100203,Abaet_,15944,19022
MG,3100302,Abre Campo,4940,5983
MG,3100401,Acaiaca,1910,2385
MG,3100500,Açucena,4389,4579
MG,3100609,çgua Boa,2813,4653
MG,3100708,çgua Comprida,1029,1353
MG,3100807,Aguanil,1369,1869
MG,3100906,çguas Formosas,10672,12594
MG,3101003,çguas Vermelhas,4388,8115
MG,3101102,Aimor_s,18082,18764
MG,3101201,Aiuruoca,2525,3020
MG,3101300,Alagoa,875,1001
MG,3101409,Albertina,1120,1745
MG,3101508,Al_m Para’ba,26861,31028
MG,3101607,Alfenas,47325,62148
MG,3101631,Alfredo Vasconcelos,2382,3148
MG,3101706,Almenara,24318,27770
MG,3101805,Alpercata,4358,5312
MG,3101904,Alpin—polis,10206,13551
MG,3102001,Alterosa,7754,8989
MG,3102050,Alto Capara—,1878,3329
MG,3102100,Alto Rio Doce,3959,4912
MG,3102209,Alvarenga,1959,2023
MG,3102308,Alvin—polis,9026,10804
MG,3102407,Alvorada de Minas,1068,1129
MG,3102506,Amparo do Serra,2181,2506
MG,3102605,Andradas,19260,24087
MG,3102704,Cachoeira de Pajeœ,2496,3135
MG,3102803,Andrel‰ndia,8165,9557
MG,3102852,Angel‰ndia,1837,3226
MG,3102902,Ant™nio Carlos,3473,5931
MG,3103009,Ant™nio Dias,3698,4450
MG,3103108,Ant™nio Prado de Minas,827,977
MG,3103207,Araça’,1468,1761
MG,3103306,Aracitaba,1375,1454
MG,3103405,Araçua’,16590,20461
MG,3103504,Araguari,82103,92748
MG,3103603,Arantina,2205,2662
MG,3103702,Araponga,1631,2541
MG,3103751,Arapor‹,1322,4821
MG,3103801,Arapu‡,1495,1716
MG,3103900,Araœjos,4227,5080
MG,3104007,Arax‡,67972,77743
MG,3104106,Arceburgo,4917,6482
MG,3104205,Arcos,23469,29343
MG,3104304,Areado,7788,9790
MG,3104403,Argirita,1947,2152
MG,3104452,Aricanduva,730,1060
MG,3104502,Arinos,7434,10137
MG,3104601,Astolfo Dutra,9053,10342
MG,3104700,Atal_ia,7039,7561
MG,3104809,Augusto de Lima,1638,2459
MG,3104908,Baependi,10403,11987
MG,3105004,Baldim,4345,4818
MG,3105103,Bambu’,15032,17672
MG,3105202,Bandeira,1926,2341
MG,3105301,Bandeira do Sul,3147,4124
MG,3105400,Bar‹o de Cocais,18096,21307
MG,3105509,Bar‹o de Monte Alto,3416,4027
MG,3105608,Barbacena,83319,103669
MG,3105707,Barra Longa,2198,2244
MG,3105905,Barroso,16274,17731
MG,3106002,Bela Vista de Minas,8910,9240
MG,3106101,Belmiro Braga,941,950
MG,3106200,Belo Horizonte,2013257,2238526
MG,3106309,Belo Oriente,12485,16217
MG,3106408,Belo Vale,2471,3136
MG,3106507,Berilo,1585,3031
MG,3106606,Bert—polis,1635,2444
MG,3106655,Berizal,1489,2067
MG,3106705,Betim,162143,298258
MG,3106804,Bias Fortes,1599,1641
MG,3106903,Bicas,9591,11498
MG,3107000,Biquinhas,1098,1644
MG,3107109,Boa Esperança,25267,30392
MG,3107208,Bocaina de Minas,2011,2205
MG,3107307,Bocaiœva,25767,32446
MG,3107406,Bom Despacho,30823,37221
MG,3107505,Bom Jardim de Minas,4709,5687
MG,3107604,Bom Jesus da Penha,1627,2293
MG,3107703,Bom Jesus do Amparo,1868,2025
MG,3107802,Bom Jesus do Galho,6840,9294
MG,3107901,Bom Repouso,4092,5364
MG,3108008,Bom Sucesso,12418,13659
MG,3108107,Bonfim,2192,2556
MG,3108206,Bonfin—polis de Minas,3450,4202
MG,3108255,Bonito de Minas,683,1420
MG,3108305,Borda da Mata,8459,11202
MG,3108404,Botelhos,8840,10544
MG,3108503,Botumirim,2303,3306
MG,3108552,Brasil‰ndia de Minas,0,9212
MG,3108602,Bras’lia de Minas,15284,17580
MG,3108701,Br‡s Pires,1404,1805
MG,3108800,Braœnas,1271,1276
MG,3108909,Bras—polis,7104,7694
MG,3109006,Brumadinho,11583,19373
MG,3109105,Bueno Brand‹o,4848,5241
MG,3109204,Buen—polis,6227,7440
MG,3109253,Bugre,1173,1298
MG,3109303,Buritis,10589,13868
MG,3109402,Buritizeiro,18069,21804
MG,3109451,Cabeceira Grande,1488,4579
MG,3109501,Cabo Verde,5079,6520
MG,3109600,Cachoeira da Prata,3407,3549
MG,3109709,Cachoeira de Minas,4480,5795
MG,3109808,Cachoeira Dourada,1728,1993
MG,3109907,Caetan—polis,6230,7400
MG,3110004,Caet_,29115,31656
MG,3110103,Caiana,1265,1751
MG,3110202,Cajuri,1711,2287
MG,3110301,Caldas,6234,7232
MG,3110400,Camacho,1160,1302
MG,3110509,Camanducaia,10441,14262
MG,3110608,Cambu’,13057,17683
MG,3110707,Cambuquira,8988,10023
MG,3110806,Campan‡rio,1983,2426
MG,3110905,Campanha,9654,11735
MG,3111002,Campestre,8304,10372
MG,3111101,Campina Verde,13498,13411
MG,3111150,Campo Azul,848,1322
MG,3111200,Campo Belo,39809,45592
MG,3111309,Campo do Meio,8621,10039
MG,3111408,Campo Florido,2747,3140
MG,3111507,Campos Altos,9957,11619
MG,3111606,Campos Gerais,12326,17739
MG,3111705,Cana‹,1116,1419
MG,3111804,Can‡polis,10225,9010
MG,3111903,Cana Verde,2990,3191
MG,3112000,Candeias,7100,9172
MG,3112059,Cantagalo,1285,1979
MG,3112109,Capara—,1205,1806
MG,3112208,Capela Nova,2031,2066
MG,3112307,Capelinha,14824,20066
MG,3112406,Capetinga,5483,5909
MG,3112505,Capim Branco,5526,7146
MG,3112604,Capin—polis,13172,13140
MG,3112653,Capit‹o Andrade,1806,2624
MG,3112703,Capit‹o En_as,8317,9967
MG,3112802,Capit—lio,4409,5658
MG,3112901,Caputira,2502,3434
MG,3113008,Cara’,4757,6701
MG,3113107,Carana’ba,908,1176
MG,3113206,Caranda’,13403,15781
MG,3113305,Carangola,22287,24740
MG,3113404,Caratinga,50773,62338
MG,3113503,Carbonita,3631,5562
MG,3113602,Careaçu,3566,4248
MG,3113701,Carlos Chagas,13710,14190
MG,3113800,Carm_sia,978,1155
MG,3113909,Carmo da Cachoeira,5661,7527
MG,3114006,Carmo da Mata,6536,7668
MG,3114105,Carmo de Minas,4874,7730
MG,3114204,Carmo do Cajuru,10410,14122
MG,3114303,Carmo do Parana’ba,20276,24276
MG,3114402,Carmo do Rio Claro,10966,13320
MG,3114501,Carm—polis de Minas,7623,9075
MG,3114550,Carneirinho,4626,5515
MG,3114600,Carrancas,2022,2263
MG,3114709,Carvalh—polis,1541,2137
MG,3114808,Carvalhos,2066,2532
MG,3114907,Casa Grande,755,1013
MG,3115003,Cascalho Rico,982,1182
MG,3115102,C‡ssia,11996,13842
MG,3115201,Conceiç‹o da Barra de Minas,2203,2674
MG,3115300,Cataguases,53426,60482
MG,3115359,Catas Altas,2496,2970
MG,3115409,Catas Altas da Noruega,970,1130
MG,3115458,Catuji,1269,1574
MG,3115474,Catuti,0,2900
MG,3115508,Caxambu,19078,21690
MG,3115607,Cedro do Abaet_,1140,1140
MG,3115706,Central de Minas,4447,5230
MG,3115805,Centralina,11088,9346
MG,3115904,Ch‡cara,1163,1651
MG,3116001,Chal_,1829,2511
MG,3116100,Chapada do Norte,1553,4863
MG,3116159,Chapada Gaœcha,602,3080
MG,3116209,Chiador,1182,1410
MG,3116308,Cipot‰nea,1625,2418
MG,3116407,Claraval,1352,2061
MG,3116506,Claro dos Poç›es,4440,5057
MG,3116605,Cl‡udio,11656,17189
MG,3116704,Coimbra,2955,3488
MG,3116803,Coluna,2584,3379
MG,3116902,Comendador Gomes,857,1174
MG,3117009,Comercinho,2311,3340
MG,3117108,Conceiç‹o da Aparecida,5021,5608
MG,3117207,Conceiç‹o das Pedras,897,1140
MG,3117306,Conceiç‹o das Alagoas,11155,14410
MG,3117405,Conceiç‹o de Ipanema,1399,1421
MG,3117504,Conceiç‹o do Mato Dentro,9104,10636
MG,3117603,Conceiç‹o do Par‡,1241,1722
MG,3117702,Conceiç‹o do Rio Verde,8179,10594
MG,3117801,Conceiç‹o dos Ouros,4009,6477
MG,3117836,C™nego Marinho,372,764
MG,3117876,Confins,3087,3126
MG,3117900,Congonhal,4167,6122
MG,3118007,Congonhas,29486,39458
MG,3118106,Congonhas do Norte,1229,2225
MG,3118205,Conquista,4592,4747
MG,3118304,Conselheiro Lafaiete,83451,99515
MG,3118403,Conselheiro Pena,16251,16611
MG,3118502,Consolaç‹o,811,850
MG,3118601,Contagem,419975,533330
MG,3118700,Coqueiral,5462,6118
MG,3118809,Coraç‹o de Jesus,10895,13948
MG,3118908,Cordisburgo,5326,5688
MG,3119005,Cordisl‰ndia,2047,2704
MG,3119104,Corinto,19522,21450
MG,3119203,Coroaci,3958,4695
MG,3119302,Coromandel,16498,20261
MG,3119401,Coronel Fabriciano,85747,96255
MG,3119500,Coronel Murta,5217,6477
MG,3119609,Coronel Pacheco,1679,1802
MG,3119708,Coronel Xavier Chaves,1374,1600
MG,3119807,C—rrego Danta,2128,2161
MG,3119906,C—rrego do Bom Jesus,1266,1388
MG,3119955,C—rrego Fundo,2757,3353
MG,3120003,C—rrego Novo,1335,2142
MG,3120102,Couto de Magalh‹es de Minas,3180,3621
MG,3120151,Cris—lita,1139,1478
MG,3120201,Cristais,4808,6552
MG,3120300,Crist‡lia,1465,2595
MG,3120409,Cristiano Otoni,2826,3626
MG,3120508,Cristina,3870,5490
MG,3120607,Crucil‰ndia,1954,2251
MG,3120706,Cruzeiro da Fortaleza,2469,3136
MG,3120805,Cruz’lia,9627,12141
MG,3120839,Cuparaque,2769,3252
MG,3120870,Curral de Dentro,1935,3566
MG,3120904,Curvelo,47987,59197
MG,3121001,Datas,2259,2622
MG,3121100,Delfim Moreira,2376,2672
MG,3121209,Delfin—polis,4623,4668
MG,3121258,Delta,0,4660
MG,3121308,Descoberto,2501,3251
MG,3121407,Desterro de Entre Rios,2431,3040
MG,3121506,Desterro do Melo,964,1092
MG,3121605,Diamantina,34609,37774
MG,3121704,Diogo de Vasconcelos,748,841
MG,3121803,Dion’sio,5155,5611
MG,3121902,Divin_sia,1015,1494
MG,3122009,Divino,6399,8664
MG,3122108,Divino das Laranjeiras,2518,2902
MG,3122207,Divinol‰ndia de Minas,2790,4966
MG,3122306,Divin—polis,144429,177973
MG,3122355,Divisa Alegre,3428,4656
MG,3122405,Divisa Nova,3398,4338
MG,3122454,Divis—polis,3668,4904
MG,3122470,Dom Bosco,1534,2019
MG,3122504,Dom Cavati,4733,4752
MG,3122603,Dom Joaquim,2416,2715
MG,3122702,Dom Silv_rio,3800,3835
MG,3122801,Dom Viçoso,877,944
MG,3122900,Dona Eus_bia,3776,4616
MG,3123007,Dores de Campos,6036,7170
MG,3123106,Dores de Guanh‹es,1118,1443
MG,3123205,Dores do Indai‡,12738,13306
MG,3123304,Dores do Turvo,1542,1877
MG,3123403,Dores—polis,691,963
MG,3123502,Douradoquara,826,1133
MG,3123528,Durand_,1622,2987
MG,3123601,El—i Mendes,12988,17055
MG,3123700,Engenheiro Caldas,5540,7309
MG,3123809,Engenheiro Navarro,4709,4714
MG,3123858,Entre Folhas,2494,3446
MG,3123908,Entre Rios de Minas,6902,8390
MG,3124005,Erv‡lia,5034,7560
MG,3124104,Esmeraldas,7044,38181
MG,3124203,Espera Feliz,7953,11261
MG,3124302,Espinosa,14895,16811
MG,3124401,Esp’rito Santo do Dourado,1231,1469
MG,3124500,Estiva,3712,4428
MG,3124609,Estrela Dalva,1475,1801
MG,3124708,Estrela do Indai‡,2942,2852
MG,3124807,Estrela do Sul,3787,5040
MG,3124906,Eugen—polis,4525,5662
MG,3125002,Ewbank da C‰mara,2259,3168
MG,3125101,Extrema,9088,12902
MG,3125200,Fama,1236,1442
MG,3125309,Faria Lemos,1735,2277
MG,3125408,Fel’cio dos Santos,1387,1994
MG,3125507,S‹o Gonçalo do Rio Preto,1344,1724
MG,3125606,Felisburgo,3845,4546
MG,3125705,Felixl‰ndia,7113,9447
MG,3125804,Fernandes Tourinho,1692,1725
MG,3125903,Ferros,4316,4628
MG,3125952,Fervedouro,2784,3715
MG,3126000,Florestal,2976,3840
MG,3126109,Formiga,47067,55597
MG,3126208,Formoso,2285,3409
MG,3126307,Fortaleza de Minas,2189,2652
MG,3126406,Fortuna de Minas,1250,1515
MG,3126505,Francisco Badar—,1439,2511
MG,3126604,Francisco Dumont,1974,2592
MG,3126703,Francisco S‡,11343,13191
MG,3126752,Francisc—polis,1627,2049
MG,3126802,Frei Gaspar,1318,1707
MG,3126901,Frei Inocêncio,4687,5911
MG,3126950,Frei Lagonegro,0,396
MG,3127008,Fronteira,6278,6926
MG,3127057,Fronteira dos Vales,2761,2929
MG,3127073,Fruta de Leite,0,2042
MG,3127107,Frutal,33232,39012
MG,3127206,Funil‰ndia,1122,1592
MG,3127305,Galil_ia,5633,5714
MG,3127339,Gameleiras,566,855
MG,3127354,Glaucil‰ndia,592,763
MG,3127370,Goiabeira,1476,2116
MG,3127388,Goian‡,2082,2412
MG,3127404,Gonçalves,926,1057
MG,3127503,Gonzaga,2588,2692
MG,3127602,Gouveia,7178,7740
MG,3127701,Governador Valadares,215098,236098
MG,3127800,Gr‹o Mogol,3200,4831
MG,3127909,Grupiara,960,1159
MG,3128006,Guanh‹es,17130,20938
MG,3128105,Guap_,4718,6287
MG,3128204,Guaraciaba,2101,2749
MG,3128253,Guaraciama,2273,2406
MG,3128303,Guaran_sia,12260,15812
MG,3128402,Guarani,5094,6205
MG,3128501,Guarar‡,3090,3552
MG,3128600,Guarda-Mor,2644,3513
MG,3128709,Guaxup_,34368,43005
MG,3128808,Guidoval,3605,5304
MG,3128907,Guimar‰nia,3953,5013
MG,3129004,Guiricema,3359,3955
MG,3129103,Gurinhat‹,2715,2834
MG,3129202,Heliodora,3489,4218
MG,3129301,Iapu,5732,6395
MG,3129400,Ibertioga,2456,3175
MG,3129509,Ibi‡,14510,17353
MG,3129608,Ibia’,3454,5141
MG,3129657,Ibiracatu,2224,2856
MG,3129707,Ibiraci,4980,6742
MG,3129806,Ibirit_,75427,132335
MG,3129905,Ibitiœra de Minas,1415,2049
MG,3130002,Ibituruna,1944,1987
MG,3130051,Icara’ de Minas,390,1942
MG,3130101,Igarap_,11005,22977
MG,3130200,Igaratinga,4170,5416
MG,3130309,Iguatama,6084,6859
MG,3130408,Ijaci,3214,4079
MG,3130507,Ilic’nea,5799,7637
MG,3130556,Imb_ de Minas,1267,1652
MG,3130606,Inconfidentes,2809,3217
MG,3130655,Indaiabira,834,1233
MG,3130705,Indian—polis,2652,3204
MG,3130804,Inga’,1223,1469
MG,3130903,Inhapim,7089,12670
MG,3131000,Inhaœma,2726,3464
MG,3131109,Inimutaba,3629,4080
MG,3131158,Ipaba,9699,13156
MG,3131208,Ipanema,9822,12260
MG,3131307,Ipatinga,178830,210895
MG,3131406,Ipiaçu,3454,3511
MG,3131505,Ipuiœna,5264,6589
MG,3131604,Ira’ de Minas,2459,4600
MG,3131703,Itabira,72954,89703
MG,3131802,Itabirinha de Mantena,5638,6515
MG,3131901,Itabirito,28678,35245
MG,3132008,Itacambira,450,656
MG,3132107,Itacarambi,9640,13304
MG,3132206,Itaguara,6318,7805
MG,3132305,Itaip_,2546,4079
MG,3132404,Itajub‡,68959,76986
MG,3132503,Itamarandiba,13816,17717
MG,3132602,Itamarati de Minas,2093,2804
MG,3132701,Itambacuri,11996,13992
MG,3132800,Itamb_ do Mato Dentro,451,756
MG,3132909,Itamogi,5535,7420
MG,3133006,Itamonte,5476,6685
MG,3133105,Itanhandu,9049,10516
MG,3133204,Itanhomi,6107,7373
MG,3133303,Itaobim,14739,16076
MG,3133402,Itapagipe,5643,7008
MG,3133501,Itapecerica,15202,16220
MG,3133600,Itapeva,3013,3781
MG,3133709,Itatiaiuçu,3735,5039
MG,3133758,Itaœ de Minas,10429,13313
MG,3133808,Itaœna,61946,71770
MG,3133907,Itaverava,1854,2418
MG,3134004,Itinga,4412,5738
MG,3134103,Itueta,2219,2495
MG,3134202,Ituiutaba,78205,83853
MG,3134301,Itumirim,4133,4701
MG,3134400,Iturama,20950,26829
MG,3134509,Itutinga,2486,2719
MG,3134608,Jaboticatubas,5009,7116
MG,3134707,Jacinto,6630,8698
MG,3134806,Jacu’,2898,3965
MG,3134905,Jacutinga,10588,14316
MG,3135001,Jaguaraçu,1257,2040
MG,3135050,Ja’ba,7320,13148
MG,3135076,Jampruca,2865,3154
MG,3135100,Janaœba,43540,53891
MG,3135209,Janu‡ria,32501,35923
MG,3135308,Japara’ba,1497,1930
MG,3135357,Japonvar,1611,2577
MG,3135407,Jeceaba,3037,2831
MG,3135456,Jenipapo de Minas,1663,2022
MG,3135506,Jequeri,4877,6450
MG,3135605,Jequita’,5208,5981
MG,3135704,Jequitib‡,1365,1635
MG,3135803,Jequitinhonha,15522,16079
MG,3135902,Jesu‰nia,2339,2848
MG,3136009,Joa’ma,8863,10259
MG,3136108,Joan_sia,1436,2065
MG,3136207,Jo‹o Monlevade,57407,66372
MG,3136306,Jo‹o Pinheiro,28182,32424
MG,3136405,Joaquim Fel’cio,2284,2324
MG,3136504,Jord‰nia,6209,7058
MG,3136520,Jos_ Gonçalves de Minas,525,783
MG,3136553,Jos_ Raydan,527,848
MG,3136579,Josen—polis,1327,2020
MG,3136603,Nova Uni‹o,1152,1429
MG,3136652,Juatuba,5773,15929
MG,3136702,Juiz de Fora,381530,453002
MG,3136801,Juramento,1583,1873
MG,3136900,Juruaia,2142,3236
MG,3136959,Juven’lia,1773,4213
MG,3137007,Ladainha,3545,3983
MG,3137106,Lagamar,4323,4811
MG,3137205,Lagoa da Prata,28108,37911
MG,3137304,Lagoa dos Patos,2205,2902
MG,3137403,Lagoa Dourada,4733,6054
MG,3137502,Lagoa Formosa,8630,10848
MG,3137536,Lagoa Grande,3666,5480
MG,3137601,Lagoa Santa,24892,35396
MG,3137700,Lajinha,7706,11218
MG,3137809,Lambari,11525,13701
MG,3137908,Lamim,1024,1362
MG,3138005,Laranjal,3488,4212
MG,3138104,Lassance,2503,3275
MG,3138203,Lavras,60730,74296
MG,3138302,Leandro Ferreira,1451,1938
MG,3138351,Leme do Prado,453,1541
MG,3138401,Leopoldina,37587,43493
MG,3138500,Liberdade,3468,3894
MG,3138609,Lima Duarte,8990,11309
MG,3138625,Limeira do Oeste,3879,3681
MG,3138658,Lontra,3371,4954
MG,3138674,Luisburgo,981,1339
MG,3138682,Luisl‰ndia,1408,2208
MG,3138708,Lumin‡rias,3104,3734
MG,3138807,Luz,13370,14550
MG,3138906,Machacalis,5449,5891
MG,3139003,Machado,20082,26941
MG,3139102,Madre de Deus de Minas,2520,3438
MG,3139201,Malacacheta,8371,10926
MG,3139250,Mamonas,904,1785
MG,3139300,Manga,11301,13972
MG,3139409,Manhuaçu,41362,52106
MG,3139508,Manhumirim,13120,15723
MG,3139607,Mantena,17840,19311
MG,3139706,Maravilhas,3243,4102
MG,3139805,Mar de Espanha,7776,9123
MG,3139904,Maria da F_,7266,7812
MG,3140001,Mariana,29848,38679
MG,3140100,Marilac,3075,3455
MG,3140159,M‡rio Campos,5973,7952
MG,3140209,Marip‡ de Minas,1446,1871
MG,3140308,Marli_ria,769,885
MG,3140407,Marmel—polis,1237,1461
MG,3140506,Martinho Campos,8892,9300
MG,3140530,Martins Soares,1465,2329
MG,3140555,Mata Verde,4364,5689
MG,3140605,Materl‰ndia,1429,1852
MG,3140704,Mateus Leme,13807,20394
MG,3140803,Matias Barbosa,10113,11583
MG,3140852,Matias Cardoso,1727,3743
MG,3140902,Matip—,9157,11679
MG,3141009,Mato Verde,8811,9349
MG,3141108,Matozinhos,21788,27664
MG,3141207,Matutina,2368,2759
MG,3141306,Medeiros,1257,1568
MG,3141405,Medina,13186,14493
MG,3141504,Mendes Pimentel,2339,2972
MG,3141603,Mercês,5079,6155
MG,3141702,Mesquita,2514,3507
MG,3141801,Minas Novas,6010,7730
MG,3141900,Minduri,3111,3305
MG,3142007,Mirabela,7727,9476
MG,3142106,Miradouro,4228,4919
MG,3142205,Mira’,7715,9442
MG,3142254,Mirav‰nia,266,687
MG,3142304,Moeda,1319,1569
MG,3142403,Moema,4831,5819
MG,3142502,Monjolos,979,1416
MG,3142601,Monsenhor Paulo,4308,5368
MG,3142700,Montalv‰nia,8395,8473
MG,3142809,Monte Alegre de Minas,11819,12673
MG,3142908,Monte Azul,10093,11478
MG,3143005,Monte Belo,6813,8117
MG,3143104,Monte Carmelo,29532,38231
MG,3143153,Monte Formoso,800,1379
MG,3143203,Monte Santo de Minas,12717,15597
MG,3143302,Montes Claros,227759,289183
MG,3143401,Monte Si‹o,9111,12729
MG,3143450,Montezuma,1420,2308
MG,3143500,Morada Nova de Minas,4908,5708
MG,3143609,Morro da Garça,1146,1623
MG,3143708,Morro do Pilar,2228,2565
MG,3143807,Munhoz,2839,3524
MG,3143906,Muria_,70388,83923
MG,3144003,Mutum,9771,11914
MG,3144102,Muzambinho,11424,14363
MG,3144201,Nacip Raydan,2178,1995
MG,3144300,Nanuque,38586,37781
MG,3144359,Naque,4503,5237
MG,3144375,Natal‰ndia,1891,2360
MG,3144409,Nat_rcia,2116,2814
MG,3144508,Nazareno,5058,5720
MG,3144607,Nepomuceno,14580,18116
MG,3144656,Ninheira,0,1942
MG,3144672,Nova Bel_m,424,914
MG,3144706,Nova Era,14729,15325
MG,3144805,Nova Lima,44038,63035
MG,3144904,Nova M—dica,1811,2160
MG,3145000,Nova Ponte,4340,7541
MG,3145059,Nova Porteirinha,3027,4182
MG,3145109,Nova Resende,5272,7118
MG,3145208,Nova Serrana,15331,35321
MG,3145307,Novo Cruzeiro,6499,8378
MG,3145356,Novo Oriente de Minas,855,3836
MG,3145372,Novorizonte,0,1242
MG,3145406,Olaria,723,844
MG,3145455,Olhos-d'çgua,1481,1890
MG,3145505,Ol’mpio Noronha,1151,1693
MG,3145604,Oliveira,26184,32213
MG,3145703,Oliveira Fortes,894,1070
MG,3145802,Onça de Pitangui,781,922
MG,3145851,Orat—rios,2438,2729
MG,3145877,Oriz‰nia,728,1705
MG,3145901,Ouro Branco,23631,26303
MG,3146008,Ouro Fino,16716,20434
MG,3146107,Ouro Preto,48150,56292
MG,3146206,Ouro Verde de Minas,2833,3475
MG,3146255,Padre Carvalho,2057,2970
MG,3146305,Padre Para’so,10123,10687
MG,3146404,Paineiras,3241,3420
MG,3146503,Pains,5365,5629
MG,3146552,Pai Pedro,1137,1592
MG,3146602,Paiva,921,1136
MG,3146701,Palma,4155,4865
MG,3146750,Palm—polis,3455,4470
MG,3146909,Papagaios,6837,10207
MG,3147006,Paracatu,49710,63014
MG,3147105,Par‡ de Minas,54034,67993
MG,3147204,Paraguaçu,12126,14554
MG,3147303,Parais—polis,10291,12990
MG,3147402,Paraopeba,13821,17283
MG,3147501,Passab_m,464,652
MG,3147600,Passa Quatro,9149,11320
MG,3147709,Passa Tempo,5052,6131
MG,3147808,Passa-Vinte,1194,1283
MG,3147907,Passos,74223,89911
MG,3147956,Patis,1570,2034
MG,3148004,Patos de Minas,87403,111333
MG,3148103,Patroc’nio,47230,63000
MG,3148202,Patroc’nio do Muria_,2611,3402
MG,3148301,Paula C‰ndido,3011,3886
MG,3148400,Paulistas,1830,2027
MG,3148509,Pav‹o,5567,5177
MG,3148608,Peçanha,5971,7934
MG,3148707,Pedra Azul,17516,20090
MG,3148756,Pedra Bonita,830,1303
MG,3148806,Pedra do Anta,1554,2079
MG,3148905,Pedra do Indai‡,1502,1818
MG,3149002,Pedra Dourada,764,1121
MG,3149101,Pedralva,4547,5318
MG,3149150,Pedras de Maria da Cruz,3593,4983
MG,3149200,Pedrin—polis,2994,2863
MG,3149309,Pedro Leopoldo,32891,43479
MG,3149408,Pedro Teixeira,594,766
MG,3149507,Pequeri,2402,2627
MG,3149606,Pequi,1935,2556
MG,3149705,Perdig‹o,3153,4425
MG,3149804,Perdizes,4558,7147
MG,3149903,Perd›es,12504,15749
MG,3149952,Periquito,5173,5444
MG,3150000,Pescador,2828,2992
MG,3150109,Piau,1465,1672
MG,3150158,Piedade de Caratinga,0,2894
MG,3150208,Piedade de Ponte Nova,2381,2679
MG,3150307,Piedade do Rio Grande,2028,2839
MG,3150406,Piedade dos Gerais,1087,1584
MG,3150505,Pimenta,4862,6134
MG,3150539,Pingo-d'çgua,0,3470
MG,3150570,Pint—polis,0,2204
MG,3150604,Piracema,2088,2764
